date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
11/14/1920,1920,0,,MNM,CHI,1300,1508.566,0.304399964,0.695600036,1292.077,1516.489,0,3
11/14/1920,1920,0,,RCH,ATN,1511.868,1290.834,0.838423423,0.161576577,1474.362,1328.34,0,6
11/14/1920,1920,0,,CTI,AKR,1429.088,1586.618,0.36990008,0.63009992,1433.056,1582.65,7,7
11/21/1920,1920,0,,ARI,LAN,1524.675,1300,0.841242668,0.158757332,1532.273,1292.402,14,0
11/21/1920,1920,0,,RCH,ROS,1474.362,1300,0.798650051,0.201349949,1484.651,1289.71,16,0
11/21/1920,1920,0,,CTI,TLM,1433.056,1278.649,0.779543521,0.220456479,1443.913,1267.791,14,0
11/21/1920,1920,0,,CHI,HAM,1516.489,1418.534,0.718704463,0.281295537,1532.679,1402.343,28,7
11/21/1920,1920,0,,AKR,DAY,1582.65,1574.232,0.604111931,0.395888069,1602.871,1554.012,13,0
11/21/1920,1920,0,,ZAN,COL,1278.366,1400.53,0.418468764,0.581531236,1280.853,1398.043,0,0
11/21/1920,1920,0,,BFF,CBD,1567.27,1553.555,0.611380777,0.388619223,1549.69,1571.135,0,3
11/25/1920,1920,0,,DAY,DHR,1554.012,1457.677,0.716815309,0.283184691,1571.78,1439.909,28,0
11/25/1920,1920,0,,CHB,HAM,1300,1402.343,0.446465096,0.553534904,1337.527,1364.817,27,0
11/25/1920,1920,0,,ELY,COL,1300,1398.043,0.452590156,0.547409844,1301.446,1396.597,0,0
11/25/1920,1920,0,,RCH,ATN,1484.651,1328.34,0.781421337,0.218578663,1441.473,1371.519,3,14
11/25/1920,1920,0,,CHT,CHI,1297.498,1532.679,0.272963105,0.727036895,1287.638,1542.54,0,6
11/25/1920,1920,0,,AKR,CBD,1602.871,1571.135,0.635725041,0.364274959,1617.382,1556.623,7,0
11/28/1920,1920,0,,CHT,THO,1287.638,1307.111,0.565146176,0.434853824,1316.031,1278.718,27,0
11/28/1920,1920,0,,RII,WJA,1496.08,1300,0.818006199,0.181993801,1508.242,1287.839,48,7
11/28/1920,1920,0,,DAY,AKR,1571.78,1617.382,0.527886996,0.472113004,1542.935,1646.228,0,14
11/28/1920,1920,0,,ARI,CHI,1532.273,1542.54,0.578121934,0.421878066,1537.98,1536.833,7,6
11/28/1920,1920,0,,BFF,CTI,1549.69,1443.913,0.727717231,0.272282769,1560.198,1433.405,7,0
11/28/1920,1920,0,,DHR,LAN,1439.909,1292.402,0.772641769,0.227358231,1431.594,1300.717,0,0
11/28/1920,1920,0,,ROS,RCH,1289.71,1441.473,0.377670405,0.622329595,1284.673,1446.51,6,7
12/4/1920,1920,0,,BFF,CBD,1560.198,1556.623,0.597425504,0.402574496,1572.764,1544.056,7,3
12/5/1920,1920,0,,WGC,CBD,1300,1544.056,0.26294276,0.73705724,1307.23,1536.826,0,0
12/5/1920,1920,0,,ROS,RCH,1284.673,1446.51,0.364140329,0.635859671,1288.817,1442.366,0,0
12/5/1920,1920,0,,ARI,CHI,1537.98,1536.833,0.594059465,0.405940535,1508.607,1566.206,0,10
12/5/1920,1920,0,,COL,CWP,1396.597,1300,0.717121359,0.282878641,1413.562,1283.035,24,0
12/5/1920,1920,0,,BFF,AKR,1572.764,1646.228,0.487821734,0.512178266,1573.136,1645.856,0,0
12/5/1920,1920,0,,DHR,DTM,1431.594,1300,0.756149917,0.243850083,1423.781,1307.812,7,7
12/11/1920,1920,0,,UAP,CBD,1300,1536.826,0.271087912,0.728912088,1330.771,1506.055,13,7
12/12/1920,1920,0,,CHI,AKR,1566.206,1645.856,0.478929441,0.521070559,1566.849,1645.214,0,0
12/18/1920,1920,0,,RIC,CBD,1300,1506.055,0.307469188,0.692530812,1278.682,1527.373,0,39
12/19/1920,1920,0,,CST,ARI,1300,1508.607,0.304349992,0.695650008,1305.967,1502.64,14,14
9/25/1921,1921,0,,AKR,COL,1598.476,1444.042,0.779570231,0.220429769,1609.332,1433.186,14,0
10/2/1921,1921,0,,ECG,LOU,1300,1413.889,0.43010379,0.56989621,1336.032,1377.857,21,0
10/2/1921,1921,0,,AKR,CCL,1609.332,1502.63,0.728771018,0.271228982,1628.139,1483.823,41,0
10/2/1921,1921,0,,DAY,COL,1530.29,1433.186,0.717713031,0.282286969,1548.174,1415.301,42,13
10/2/1921,1921,0,,RII,DTI,1507.161,1300,0.827310466,0.172689534,1497.179,1309.982,0,0
10/2/1921,1921,0,,BFF,HAM,1550.424,1411.544,0.763800099,0.236199901,1562.92,1399.048,17,0
10/2/1921,1921,0,,ARI,MNN,1503.427,1504.688,0.5907124,0.4092876,1527.647,1480.468,20,0
10/9/1921,1921,0,,DTI,DAY,1309.982,1548.174,0.269536924,0.730463076,1331.966,1526.191,10,7
10/9/1921,1921,0,,CBD,HAM,1519.915,1399.048,0.744584832,0.255415168,1512.456,1406.508,7,7
10/9/1921,1921,0,,ECG,MUN,1336.032,1469.651,0.402513581,0.597486419,1369.434,1436.249,14,0
10/9/1921,1921,0,,BFF,COL,1562.92,1415.301,0.772755005,0.227244995,1578.103,1400.118,38,0
10/9/1921,1921,0,,ARI,AKR,1527.647,1628.139,0.449099839,0.550900161,1499.555,1656.231,0,23
